Time (sec),Run Time (sec),Heater Set (C),Heater Duty (0-1),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Spool Duty (0-1),Wind B-F Speed (PPS),Filament Diameter Set (mm),Heater Actual (C),Filament Feed Rate Actual (RPS),Spool Wind Rate Actual (RPS),Wind Direction (R/L),Wind Count (#),Filament Diameter Actual (mm),Total Fiber Produced (m),Heater Current (mA),Spool DC Motor Current (mA),Stepper and 12V Current (mA),Total Power (W),Total Energy Used (Wh)
1590082565,0,82.5,0.203178587,0.001,1,0.619814361,0,0,77.56,0.001,1.00282381,1,1,0.192,0.539450883,1388.4,128.28,550.4,24.80496,0.0550666
1590082566,0.988311,82.5,0.405158548,0.001,1,0.619647124,0,0,77.51,0.001,0.993857143,1,1,0.189,0.608694966,2597,125.49,521,38.92188,0.062838636
1590082567,2.000601,82.5,0.405553012,0.001,1,0.619563383,0,0,77.56,0.001,1.00282381,1,1,0.186,0.691392983,2653.6,130.64,540.8,39.90048,0.07399319
1590082568,2.98756,82.5,0.406022343,0.001,1,0.620194438,0,0,77.56,0.001,0.998053571,1,1,0.195,0.765795667,2683.2,126.42,530,38.86224,0.083989227
1590082569,3.988468,82.5,0.410799924,0.0005,1,0.619956777,0,0,77.51,0.0005,0.998169048,1,1,0.21,0.827212946,2789,129.08,557.4,41.70576,0.095944351
1590082570,4.989503,82.5,0.410421952,0.0005,1,0.619734361,0,0,77.59,0.0005,1.002554762,1,1,0.214,0.856680012,2802.8,128.89,558.6,41.88348,0.106784465
1590082571,5.996044,82.5,0.411904512,0.0005,0.25,0.343752102,0,0,77.58,0.0005,0.805891667,1,1,0.216,0.890185092,2642.2,45.67,581.8,39.23604,0.118332099
1590082572,6.99061,82.5,0.416612035,0.0005,0.25,0.24573123,0,0,77.59,0.0005,0.421277381,1,1,0.213,0.926328994,2622,50.83,571.6,38.93316,0.129397288
1590082573,7.98764,82.5,0.418375334,0.0005,0.25,0.199697577,0,0,77.61,0.0005,0.327116667,1,1,0.197,0.959623705,2635.4,47.4,551.2,38.808,0.14059976
1590082574,8.991544,82.5,0.419809975,0.0005,0.25,0.17301054,0,0,77.63,0.0005,0.288483333,1,1,0.223,0.992304325,2617.6,49.68,544,38.53536,0.152010993
