Time (s),Run A Diameter (mm),Run B Diameter (mm)
0,0.395941,0.38227
0.1,0.395941,0.38227
0.2,0.395941,0.38227
0.3,0.395941,0.38227
0.4,0.395941,0.38227
0.5,0.395941,0.38227
0.6,0.395941,0.38227
0.7,0.395941,0.38227
0.8,0.395941,0.3686
0.9,0.395941,0.3686
1,0.395941,0.3686
1.1,0.395941,0.354929
1.2,0.395941,0.354929
1.3,0.395941,0.354929
1.4,0.395941,0.354929
1.5,0.395941,0.354929
1.6,0.395941,0.354929
1.7,0.395941,0.354929
1.8,0.38227,0.3686
1.9,0.38227,0.3686
2,0.38227,0.38227
2.1,0.38227,0.3686
2.2,0.38227,0.38227
2.3,0.38227,0.38227
2.4,0.38227,0.38227
2.5,0.38227,0.38227
2.6,0.3686,0.38227
2.7,0.3686,0.38227
2.8,0.3686,0.38227
2.9,0.3686,0.38227
3,0.3686,0.395941
3.1,0.3686,0.395941
3.2,0.3686,0.395941
3.3,0.3686,0.395941
3.4,0.3686,0.395941
3.5,0.3686,0.395941
3.6,0.3686,0.395941
3.7,0.38227,0.395941
3.8,0.38227,0.395941
3.9,0.38227,0.395941
4,0.3686,0.395941
4.1,0.3686,0.395941
4.2,0.38227,0.395941
4.3,0.38227,0.395941
4.4,0.3686,0.395941
4.5,0.3686,0.395941
4.6,0.354929,0.395941
4.7,0.354929,0.395941
4.8,0.354929,0.395941
4.9,0.341259,0.395941
5,0.327588,0.395941
5.1,0.327588,0.395941
5.2,0.313918,0.395941
5.3,0.313918,0.395941
5.4,0.286577,0.395941
5.5,0.286577,0.395941
5.6,0.286577,0.395941
5.7,0.286577,0.395941
5.8,0.272907,0.395941
5.9,0.272907,0.395941
6,0.272907,0.395941
6.1,0.286577,0.38227
6.2,0.272907,0.3686
6.3,0.286577,0.3686
6.4,0.286577,0.341259
6.5,0.286577,0.341259
6.6,0.300248,0.341259
6.7,0.300248,0.341259
6.8,0.300248,0.341259
6.9,0.300248,0.341259
7,0.300248,0.341259
7.1,0.313918,0.341259
7.2,0.300248,0.327588
7.3,0.313918,0.327588
7.4,0.313918,0.313918
7.5,0.313918,0.313918
7.6,0.313918,0.313918
7.7,0.313918,0.313918
7.8,0.313918,0.300248
7.9,0.341259,0.300248
8,0.341259,0.286577
8.1,0.341259,0.300248
8.2,0.341259,0.300248
8.3,0.341259,0.300248
8.4,0.341259,0.313918
8.5,0.341259,0.313918
8.6,0.354929,0.313918
8.7,0.354929,0.327588
8.8,0.354929,0.327588
8.9,0.3686,0.327588
9,0.3686,0.327588
9.1,0.3686,0.327588
9.2,0.3686,0.327588
9.3,0.38227,0.327588
9.4,0.38227,0.341259
9.5,0.38227,0.341259
9.6,0.38227,0.354929
9.7,0.395941,0.354929
9.8,0.395941,0.354929
9.9,0.395941,0.354929
10,0.395941,0.354929
10.1,0.395941,0.354929
10.2,0.395941,0.354929
10.3,0.395941,0.354929
10.4,0.409611,0.354929
10.5,0.409611,0.354929
10.6,0.409611,0.354929
10.7,0.409611,0.354929
10.8,0.409611,0.354929
10.9,0.409611,0.354929
11,0.395941,0.341259
11.1,0.395941,0.354929
11.2,0.395941,0.354929
11.3,0.395941,0.3686
11.4,0.395941,0.3686
11.5,0.395941,0.38227
11.6,0.395941,0.38227
11.7,0.395941,0.38227
11.8,0.409611,0.38227
11.9,0.395941,0.38227
12,0.395941,0.38227
12.1,0.395941,0.38227
12.2,0.395941,0.38227
12.3,0.409611,0.3686
12.4,0.409611,0.3686
12.5,0.409611,0.3686
12.6,0.395941,0.3686
12.7,0.395941,0.354929
12.8,0.395941,0.354929
12.9,0.395941,0.354929
13,0.395941,0.354929
13.1,0.395941,0.354929
13.2,0.395941,0.354929
13.3,0.395941,0.354929
13.4,0.395941,0.354929
13.5,0.395941,0.354929
13.6,0.395941,0.354929
13.7,0.395941,0.354929
13.8,0.395941,0.354929
13.9,0.395941,0.354929
14,0.395941,0.354929
14.1,0.395941,0.354929
14.2,0.38227,0.354929
14.3,0.38227,0.354929
14.4,0.38227,0.354929
14.5,0.38227,0.354929
14.6,0.38227,0.354929
14.7,0.38227,0.38227
14.8,0.38227,0.38227
14.9,0.38227,0.38227
15,0.38227,0.38227
15.1,0.38227,0.395941
15.2,0.38227,0.395941
15.3,0.38227,0.395941
15.4,0.38227,0.395941
15.5,0.38227,0.395941
15.6,0.38227,0.395941
15.7,0.3686,0.395941
15.8,0.3686,0.395941
15.9,0.3686,0.395941
16,0.3686,0.38227
16.1,0.354929,0.38227
16.2,0.354929,0.38227
16.3,0.354929,0.38227
16.4,0.327588,0.38227
16.5,0.327588,0.38227
16.6,0.327588,0.38227
16.7,0.327588,0.38227
16.8,0.327588,0.38227
16.9,0.327588,0.38227
17,0.327588,0.38227
17.1,0.313918,0.38227
17.2,0.327588,0.38227
17.3,0.313918,0.395941
17.4,0.327588,0.395941
17.5,0.327588,0.38227
17.6,0.327588,0.38227
17.7,0.327588,0.38227
17.8,0.327588,0.38227
