Run Time (sec),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Wind B-F Speed (PPS),Filament Diameter Set (mm),Spool Wind Rate Actual (RPS),Wind Count (#),Filament Diameter Actual (mm)
0,0.0005,0.25,0,0,0.25,0,0.28
1.00019598,0.0005,0.25,0,0,0.251,0,0.295
1.997447491,0.0005,0.25,0,0,0.253,0,0.299
2.999223709,0.0005,0.25,0,0,0.245,0,0.29
4.000731707,0.0005,0.25,0,0,0.25,0,0.291
4.99803853,0.0005,0.25,0,0,0.251,0,0.297
5.998999119,0.0005,0.25,0,0,0.254,0,0.302
7.000025988,0.0005,0.25,0,0,0.248,0,0.314
8.001741886,0.0005,0.25,0,0,0.25,0,0.311
9.000349283,0.0005,0.25,0,0,0.252,0,0.29
9.998692751,0.0005,0.25,0,0,0.254,0,0.3
10.99736738,0.0005,0.25,0,0,0.247,0,0.301
12.00846601,0.0005,0.25,0,0,0.253,0,0.29
12.99783182,0.0005,0.25,0,0,0.251,0,0.287
13.99771094,0.0005,0.25,0,0,0.251,0,0.288
15.00026584,0.0005,0.25,0,0,0.247,0,0.268
15.99789405,0.0005,0.25,0,0,0.25,0,0.267
16.99632788,0.001,0.25,0,0,0.252,0,0.279
17.99564266,0.001,0.25,0,0,0.25,0,0.283
18.9994278,0.001,0.25,0,0,0.247,0,0.277
19.99854207,0.001,0.25,0,0,0.251,0,0.283
20.99747014,0.001,0.25,0,0,0.252,0,0.301
21.99740744,0.001,1,0,0,0.708,0,0.291
22.99705911,0.001,1,127,0,0.866,1,0.306
23.99741149,0.001,1,127,0,0.904,1,0.293
25.15279698,0.001,1,127,0,0.948,1,0.294
25.99783254,0.001,1,127,0,0.967,1,0.296
26.99726224,0.001,1,127,0,0.98,1,0.179
28.00043845,0.001,1,127,0,0.989,1,0.164
29.00019479,0.001,1,127,0,0.992,1,0.164
30.00024009,0.001,1,127,0,0.995,1,0.174
30.99845886,0.001,1,127,0,0.997,1,0.166
32.00136447,0.001,1,127,0,0.997,1,0.171
32.99848008,0.001,1,127,0,1,1,0.185
34.01283622,0.001,1,127,0,0.998,1,0.191
35.01671839,0.001,1,127,0,1.001,1,0.186
36.02063489,0.001,1,127,0,1,1,0.188
37.02202392,0.001,1,127,0,0.998,1,0.236
38.03951931,0.001,1,127,0,1,1,0.235
39.00073004,0.001,1,127,0,1,1,0.231
40.00024104,0.001,1,127,0,1,1,0.227
40.99884415,0.001,1,127,0,0.996,1,0.243
42.00152636,0.001,1,127,0,0.998,1,0.224
42.9991529,0.001,1,127,0,1,1,0.214
43.99883914,0.001,1,127,0,1,1,0.199
44.99964285,0.001,1,127,0,0.998,1,0.187
45.99874544,0.001,1,127,0,1.002,1,0.198
47.0561986,0.001,1,127,0,0.998,1,0.194
48.05979824,0.001,1,127,0,1.001,1,0.178
49.07679129,0.001,1,127,0,1.001,1,0.199
50.2626338,0.001,1,127,0,1,1,0.19
51.00170255,0.001,1,127,0,1.001,1,0.205
51.99662066,0.001,1,127,0,1.001,1,0.222
53.00289083,0.001,1,127,0,1.003,1,0.208
54.0001967,0.001,1,127,0,0.998,1,0.237
54.99891376,0.001,1,127,0,1.001,1,0.23
55.99973321,0.001,1,127,0,0.997,1,0.237
56.99782872,0.001,1,127,0,0.996,1,0.222
57.99766183,0.001,1,127,0,0.998,1,0.225
59.00059748,0.001,1,127,0,0.997,1,0.232
59.99845958,0.001,1,127,0,0.998,1,0.216
61.00180173,0.001,1,127,0,1.002,1,0.199
61.99843097,0.001,1,127,0,1,1,0.202
63.00540423,0.001,1,127,0,0.998,1,0.199
64.00207448,0.001,1,127,0,1.002,1,0.215
64.99777484,0.001,1,127,0,1.001,1,0.209
65.99974895,0.001,1,127,0,1.003,1,0.202
67.00204062,0.001,1,127,0,1.001,1,0.198
68.0012269,0.001,1,127,0,1.001,1,0.214
69.02453709,0.001,1,127,0,0.998,1,0.216
70.00100064,0.001,1,127,0,1.001,1,0.214
71.01081562,0.001,1,127,0,1,1,0.211
72.03188801,0.001,1,127,0,1,1,0.226
73.02188277,0.001,1,127,0,0.997,1,0.234
74.02233267,0.001,1,127,0,0.996,1,0.228
75.03846979,0.001,1,127,0,0.998,1,0.22
76.03909278,0.001,1,127,0,0.998,1,0.227
77.05270362,0.001,1,127,0,1.001,1,0.229
78.00009751,0.001,1,127,0,1.003,1,0.234
78.99927974,0.001,1,127,0,1.002,1,0.225
79.99899936,0.001,1,127,0,1,1,0.239
80.9980154,0.001,1,127,0,1.001,1,0.23
81.99871206,0.001,1,127,0,0.998,1,0.225
82.99884677,0.001,1,127,0,1.001,1,0.214
84.00384998,0.001,1,127,0,1.001,1,0.221
84.99961066,0.001,1,127,0,1,1,0.192
86.00368094,0.001,1,127,0,1,1,0.195
87.00330234,0.001,1,127,0,0.997,1,0.196
87.99950123,0.001,1,127,0,0.998,1,0.191
89.00071263,0.001,1,127,0,1,1,0.227
89.99783278,0.001,1,127,0,1.002,1,0.212
91.00273752,0.001,1,127,0,0.998,1,0.208
92.0009408,0.001,1,127,0,1,1,0.214
92.99988842,0.001,1,127,0,1.002,1,0.237
94.00096893,0.001,1,127,0,1,1,0.238
94.9982388,0.001,1,127,0,1,1,0.23
96.00047684,0.001,1,127,0,1.002,1,0.227
97.001899,0.001,1,127,0,1,1,0.231
97.99893284,0.001,1,127,0,1,1,0.216
99.00642729,0.001,1,127,0,1,1,0.214
100.0018954,0.001,1,127,0,1,1,0.224
100.9977899,0.001,1,127,0,1,1,0.227
101.9999647,0.001,1,127,0,1.001,1,0.227
103.0012958,0.001,1,127,0,0.996,1,0.221
104.0017924,0.001,1,127,0,0.996,1,0.228
104.9997392,0.001,1,127,0,0.998,1,0.222
106.0002751,0.001,1,127,0,1.001,1,0.232
107.0579903,0.001,1,127,0,1.001,1,0.227
108.0674582,0.001,1,127,0,1.002,1,0.235
109.077508,0.001,1,127,0,1.003,1,0.235
110.0968282,0.001,1,127,0,1.003,1,0.233
110.9988849,0.001,1,127,0,1.002,1,0.223
112.0045009,0.001,1,127,0,1.001,1,0.221
112.9985402,0.001,1,127,0,1.001,1,0.222
114.0248048,0.001,1,127,0,0.997,1,0.203
115.0119131,0.001,1,127,0,0.997,1,0.197
116.0137424,0.001,1,127,0,0.998,1,0.189
117.0236695,0.001,1,127,0,0.997,1,0.232
118.0297775,0.001,1,127,0,1,1,0.229
119.0393405,0.001,1,127,0,1,1,0.225
120.0355701,0.001,1,127,0,1.001,1,0.221
121.0432329,0.001,1,127,0,1.001,1,0.227
122.0115557,0.001,1,127,0,0.997,1,0.249
122.9997911,0.001,1,127,0,1,1,0.262
124.0036027,0.001,1,127,0,1.003,1,0.247
125.0069818,0.001,1,127,0,1.002,1,0.241
126.0023341,0.001,1,127,0,1.001,1,0.239
127.0026765,0.001,1,127,0,1.002,1,0.232
128.0040245,0.001,1,127,0,1,1,0.218
129.0032487,0.001,1,127,0,1,1,0.225
130.0007918,0.001,1,127,0,1.002,1,0.222
131.006006,0.001,1,127,0,1.001,1,0.203
131.9978938,0.001,1,127,0,0.994,1,0.208
133.0018704,0.001,1,127,0,0.998,1,0.223
133.999243,0.001,1,127,0,0.998,1,0.222
135.0050976,0.001,1,127,0,0.998,1,0.213
136.0027292,0.001,1,127,0,1,1,0.211
137.0039577,0.001,1,127,0,1.002,1,0.223
138.0013924,0.001,1,127,0,1.001,1,0.226
139.003176,0.001,1,127,0,1,1,0.225
140.0012517,0.001,1,127,0,1.002,1,0.222
141.0055304,0.001,1,127,0,1.001,1,0.212
141.9989536,0.001,1,127,0,1.001,1,0.215
142.9989092,0.001,1,127,0,1.001,1,0.219
144.0000632,0.001,1,127,0,1,2,0.217
145.0009935,0.001,1,127,0,1,2,0.213
146.006012,0.001,1,127,0,0.997,2,0.232
147.0007241,0.001,1,127,0,0.998,2,0.236
147.9990532,0.001,1,127,0,0.998,2,0.224
148.9988241,0.001,1,127,0,0.996,2,0.247
150.0008848,0.001,1,127,0,0.997,2,0.239
151.0048959,0.001,1,127,0,1.001,2,0.239
151.9994011,0.001,1,127,0,1.001,2,0.237
153.0136878,0.001,1,127,0,1.002,2,0.232
154.000051,0.001,1,127,0,1.001,2,0.227
155.0020714,0.001,1,127,0,1.001,2,0.217
156.0140765,0.001,1,127,0,1.002,2,0.209
157.011086,0.001,1,127,0,1.002,2,0.219
158.0333028,0.001,1,127,0,1.001,2,0.203
159.0366194,0.001,1,127,0,0.998,2,0.19
160.0446112,0.001,1,127,0,0.997,2,0.333
161.0371885,0.001,1,127,0,1.001,2,0.219
162.0426023,0.001,1,127,0,1.001,2,0.216
162.9999611,0.001,1,127,0,1,2,0.214
164.0013237,0.001,1,127,0,0.998,2,0.243
164.999352,0.001,1,127,0,0.997,2,0.242
165.9994416,0.001,1,127,0,0.998,2,0.226
167.0589528,0.001,1,127,0,1,2,0.226
168.0589025,0.001,1,127,0,1.002,2,0.229
169.073009,0.001,1,127,0,1.003,2,0.222
170.0854311,0.001,1,127,0,1.001,2,0.211
170.9990568,0.001,1,127,0,1.003,2,0.22
171.9998879,0.001,1,127,0,1.001,2,0.23
173.0006855,0.001,1,127,0,1,2,0.214
174.0010936,0.001,1,127,0,1.001,2,0.206
174.999836,0.001,1,127,0,1.001,2,0.205
176.0010524,0.001,1,127,0,1,2,0.204
177.0020533,0.001,1,127,0,0.998,2,0.215
178.003139,0.001,1,127,0,1.001,2,0.21
179.0003004,0.001,1,127,0,0.998,2,0.213
180.0009954,0.001,1,127,0,1,2,0.203
