Run Time (sec),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Wind B-F Speed (PPS),Filament Diameter Set (mm),Spool Wind Rate Actual (RPS),Wind Count (#),Filament Diameter Actual (mm)
0,0.0005,0.25,0,0,0.247,0,0.306
0.980892658,0.0005,0.25,0,0,0.252,0,0.29
1.981293201,0.0005,0.25,0,0,0.248,0,0.297
2.979438305,0.0005,0.25,0,0,0.248,0,0.308
3.980020285,0.0005,0.25,0,0,0.248,0,0.293
4.981554031,0.0005,0.25,0,0,0.253,0,0.304
5.983205795,0.0005,0.25,0,0,0.247,0,0.322
6.982325792,0.0005,0.25,0,0,0.25,0,0.29
7.982614517,0.0005,0.25,0,0,0.251,0,0.302
8.98029089,0.0005,0.25,0,0,0.252,0,0.317
9.979970932,0.0005,0.25,0,0,0.247,0,0.304
10.98002124,0.0005,0.25,0,0,0.248,0,0.314
11.97988129,0.0005,0.25,0,0,0.251,0,0.304
12.97998762,0.0005,0.25,0,0,0.252,0,0.293
14.04175472,0.0005,0.25,0,0,0.248,0,0.31
15.04609752,0.0005,0.25,0,0,0.252,0,0.316
16.06273723,0.0005,0.25,0,0,0.248,0,0.31
17.08272672,0.0005,0.25,0,0,0.252,0,0.3
17.98450351,0.0005,0.25,0,0,0.248,0,0.3
18.98024678,0.0005,0.25,0,0,0.25,0,0.299
19.98126769,0.0005,0.25,0,0,0.253,0,0.292
20.98016548,0.0005,0.25,0,0,0.251,0,0.292
21.98072124,0.0005,0.25,0,0,0.248,0,0.285
22.98118281,0.0005,0.25,0,0,0.25,0,0.288
23.97983909,0.0005,0.25,0,0,0.252,0,0.289
24.98273945,0.0005,0.25,0,0,0.247,0,0.295
25.9841373,0.0005,0.25,0,0,0.25,0,0.29
26.98236918,0.0005,0.25,0,0,0.252,0,0.303
27.98058677,0.0005,0.25,0,0,0.248,0,0.313
28.98119974,0.0005,0.25,0,0,0.251,0,0.309
29.98097539,0.0005,0.25,0,0,0.252,0,0.302
30.98188901,0.0005,0.25,0,0,0.252,0,0.306
31.99916077,0.0005,0.25,0,0,0.246,0,0.303
32.98446274,0.0005,0.25,0,0,0.248,0,0.312
33.99971223,0.001,0.25,0,0,0.25,0,0.312
35.01538682,0.001,0.25,0,0,0.25,0,0.288
35.98377824,0.001,0.25,0,0,0.247,0,0.29
37.0136075,0.001,0.25,0,0,0.252,0,0.297
38.01836276,0.001,1,0,0,0.863,0,0.275
38.98236132,0.001,1,0,0,0.853,0,0.276
39.98144031,0.001,1,0,0,0.925,0,0.294
40.98320746,0.001,1,127,0,0.955,1,0.316
41.98135948,0.001,1,127,0,0.975,1,0.249
42.98161316,0.001,1,127,0.261,0.989,1,0.184
43.98099613,0.001,0.547587,127,0.261,0.491,1,0.168
44.98116994,0.001,0.514379,127,0.261,0.51,1,0.156
45.98576975,0.001,0.470957,127,0.261,0.569,1,0.177
46.98551989,0.001,0.434435,127,0.261,0.669,1,0.155
47.99298382,0.001,0.394222,127,0.261,0.698,1,0.173
48.98160028,0.001,0.356196,127,0.261,0.778,1,0.152
49.98524952,0.001,0.33264,127,0.21,0.26,1,0.153
50.98434567,0.001,0.65,127,0.21,0.82,1,0.182
51.98539782,0.001,0.65,127,0.21,0.741,1,0.213
52.98301387,0.001,0.65,127,0.21,0.705,1,0.253
